Ticket,Open,Type,Volume,Symbol,Price,SL,TP,Close,Price,Swap,Commissions,Profit,Pips,"Trade duration in seconds"
140906400,"2026-04-10 22:08:20",buy,0.06,XAUUSD,4768.03000000,0,4773.60000000,"2026-04-13 01:05:17",4676.11000000,-4.08,-0.3,-411.91000000,-91.9,183417
140906316,"2026-04-10 22:06:57",buy,0.06,XAUUSD,4767.41000000,0,4773.47000000,"2026-04-13 01:05:17",4676.11000000,-4.08,-0.3,-409.13000000,-91.3,183500
140863789,"2026-04-10 19:03:36",buy,0.15,XAUUSD,4756.09000000,0,4772.93000000,"2026-04-10 21:38:38",4773.15000000,0,-0.74,189.96000000,17.1,9302
140862665,"2026-04-10 19:01:40",buy,0.15,XAUUSD,4759.58000000,0,4773.09000000,"2026-04-10 21:38:38",4773.15000000,0,-0.74,151.10000000,13.6,9418
140720626,"2026-04-10 14:30:48",buy,0.1,XAUUSD,4763.31000000,4763.27,4799.08000000,"2026-04-10 18:36:32",4761.56000000,0,-0.5,-12.99000000,-1.8,14744
140549387132520758,"2026-04-10 02:23:59",buy,0.05,XAUUSD,4758.98000000,4726.08,4785.46000000,"2026-04-10 14:32:32",4759.46000000,0,-0.245,1.79000000,0.5,43713
140549387,"2026-04-10 02:23:59",buy,0.15,XAUUSD,4758.98000000,4726.08,4785.46000000,"2026-04-10 13:24:45",4758.63000000,0,-0.745,-3.91000000,-0.4,39646
140129160132343505,"2026-04-09 02:16:45",buy,0.02,XAUUSD,4710.36000000,4734.21,4810.40000000,"2026-04-09 22:18:49",4774.40000000,0,-0.09857143,95.32000000,64,72124
140129160132339313,"2026-04-09 02:16:45",buy,0.05,XAUUSD,4710.36000000,4734.21,4810.40000000,"2026-04-09 22:00:32",4769.64000000,0,-0.24142857,220.68000000,59.3,71027
140129160,"2026-04-09 02:16:45",buy,0.07,XAUUSD,4710.36000000,4734.21,4801.62000000,"2026-04-09 17:34:11",4756.47000000,0,-0.34,240.57000000,46.1,55046
139734441,"2026-04-08 04:32:40",sell,0.1,XAUUSD,4788.88000000,4813.14,4741.88000000,"2026-04-08 04:50:27",4813.14000000,0,-0.5,-180.89000000,-24.3,1067
139733173131606726,"2026-04-08 04:28:06",sell,0.04,XAUUSD,4798.03000000,4827.92,4688.30000000,"2026-04-08 04:50:25",4811.96000000,0,-0.2,-41.55000000,-13.9,1339
139733173,"2026-04-08 04:28:06",sell,0.04,XAUUSD,4798.03000000,4827.92,4685.53000000,"2026-04-08 04:32:56",4790.36000000,0,-0.2,22.89000000,7.7,290
139732342,"2026-04-08 04:24:05",sell,0.3,XAUUSD,4804.42000000,0,0,"2026-04-08 04:26:59",4797.28000000,0,-1.5,159.66000000,7.1,174
139731164,"2026-04-08 04:20:33",sell,0.15,XAUUSD,4798.74000000,4828.1,4757.47000000,"2026-04-08 04:23:14",4806.42000000,0,-0.76,-85.92000000,-7.7,161
139722377131600648,"2026-04-08 03:49:44",buy,0.05,XAUUSD,4815.86000000,4799.64,4891.12000000,"2026-04-08 04:20:19",4799.25000000,0,-0.255,-61.94000000,-16.6,1835
139722377,"2026-04-08 03:49:44",buy,0.07,XAUUSD,4815.86000000,4799.64,4891.12000000,"2026-04-08 04:19:45",4801.01000000,0,-0.355,-77.52000000,-14.9,1801
139722672,"2026-04-08 03:50:35",buy,0.1,XAUUSD,4819.58000000,4819.58,4849.58000000,"2026-04-08 03:56:11",4819.16000000,0,-0.5,-3.14000000,-0.4,336
138831243130880195,"2026-04-06 02:12:30",buy,0.02,XAUUSD,4629.38000000,4629.43,4702.49000000,"2026-04-06 12:06:14",4702.60000000,0,-0.099,110.50000000,73.2,35624
138831243130828289,"2026-04-06 02:12:30",buy,0.08,XAUUSD,4629.38000000,4629.43,4702.49000000,"2026-04-06 08:41:32",4662.86000000,0,-0.396,202.65000000,33.5,23342
138832304130782560,"2026-04-06 02:16:57",buy,0.03,XAUUSD,4630.40000000,4599,4700.34000000,"2026-04-06 03:41:58",4619.79000000,0,-0.145,-24.12000000,-10.6,5101
138832304,"2026-04-06 02:16:57",buy,0.05,XAUUSD,4630.40000000,4602.77,4700.34000000,"2026-04-06 02:26:53",4614.12000000,0,-0.245,-61.73000000,-16.3,596
138831243,"2026-04-06 02:12:30",buy,0.1,XAUUSD,4629.38000000,4602.77,4702.49000000,"2026-04-06 02:14:47",4630.88000000,0,-0.495,11.37000000,1.5,137
137847093129901504,"2026-04-01 02:25:06",buy,0.04,XAUUSD,4677.99000000,4670.59,4749.31000000,"2026-04-01 07:16:56",4670.54000000,0,-0.19777778,-22.52000000,-7.5,17510
137847093,"2026-04-01 02:25:06",buy,0.05,XAUUSD,4677.99000000,4678.01,4770.00000000,"2026-04-01 03:19:38",4706.89000000,0,-0.24222222,109.04000000,28.9,3272
